SID,CB,block,trial,memrich,mondrich,eye,loc,image,urban,resp,corr,RT,cond,phase,locrep,eyerep
1,1,4,36,1,3,1,3,5,1,1,1,2645.744867,2,1,0,1
1,1,4,37,1,3,1,4,10,2,2,1,2921.928456,3,1,0,1
1,1,4,38,1,3,1,4,1,1,1,1,1713.891879,3,1,1,1
1,1,4,39,1,3,2,1,9,2,2,1,938.842738,1,1,0,0
1,1,4,40,1,3,1,1,2,1,1,1,746.8436002,1,1,0,0
1,1,4,41,1,3,1,1,7,2,2,1,1762.232783,1,1,1,1
1,1,4,42,1,3,2,2,4,1,1,1,1249.522064,3,1,0,0
1,1,4,43,1,3,1,2,1,1,1,1,2692.13363,3,1,0,0
1,1,4,44,1,3,1,1,6,2,2,1,973.8354078,1,1,0,1
1,1,4,45,1,3,2,1,5,1,1,1,1108.074376,1,1,0,0
1,1,4,46,1,3,1,3,8,2,2,1,4893.553317,2,1,1,0
1,1,4,47,1,3,1,1,3,1,1,1,1655.602075,1,1,0,1
1,1,4,48,1,3,2,4,2,1,1,1,1082.171074,3,1,0,0
1,1,5,1,1,3,2,1,10,2,2,1,1592.551663,1,1,0,1
1,1,5,2,1,3,1,1,4,1,1,1,2342.348001,1,1,0,0
1,1,5,3,1,3,2,4,1,1,1,1,926.5031153,3,1,0,0
1,1,5,4,1,3,2,1,3,1,1,1,1134.289944,1,1,0,1
1,1,5,5,1,3,2,1,2,1,1,1,1093.927523,1,1,1,1
1,1,5,6,1,3,1,1,4,1,1,1,1279.527139,1,1,0,0
1,1,5,7,1,3,2,3,8,2,2,1,745.5987055,2,1,1,0
1,1,5,8,1,3,1,4,1,1,1,1,1609.413367,3,1,0,0
1,1,5,9,1,3,2,4,7,2,2,1,974.4609008,3,1,0,0
1,1,5,10,1,3,1,1,2,1,1,1,829.0544283,1,1,0,0
1,1,5,11,1,3,2,2,3,1,1,1,1377.134523,3,1,0,0
1,1,5,12,1,3,2,1,5,1,1,1,2695.699358,1,1,0,1
1,1,5,13,1,3,1,2,9,2,2,1,3865.33848,3,1,0,0
1,1,5,14,1,3,1,1,7,2,2,1,2244.182128,1,1,0,1
1,1,5,15,1,3,1,2,10,2,2,1,2095.915251,3,1,0,1
1,1,5,16,1,3,2,1,1,1,1,1,1473.205266,1,1,0,0
1,1,5,17,1,3,1,3,9,2,2,1,3123.733505,2,1,1,0
1,1,5,18,1,3,2,3,5,1,1,1,964.3997913,2,1,0,0
1,1,5,19,1,3,1,2,3,1,1,1,5395.462658,3,1,0,0
1,1,5,20,1,3,1,4,6,2,2,1,2577.163762,3,1,0,1
1,1,5,21,1,3,2,2,8,2,2,1,815.5061379,3,1,1,0
1,1,5,22,1,3,2,2,8,2,2,1,811.7894069,3,1,1,1
1,1,5,23,1,3,2,1,6,2,2,1,848.5614136,1,1,0,1
1,1,5,24,1,3,2,1,9,2,2,1,1203.483398,1,1,1,1
1,1,5,25,1,3,2,1,2,1,1,1,1664.954015,1,1,1,1
1,1,5,26,1,3,2,3,7,2,2,1,1362.983503,2,1,0,1
1,1,5,27,1,3,1,3,4,1,1,1,1370.410873,2,1,0,0
1,1,5,28,1,3,1,1,1,1,1,1,1840.80703,1,1,0,1
1,1,5,29,1,3,2,1,10,2,2,1,1036.276998,1,1,0,0
1,1,5,30,1,3,1,1,10,2,2,1,1951.68827,1,1,0,0
1,1,5,31,1,3,2,3,2,1,1,1,822.8847766,2,1,1,0
1,1,5,32,1,3,2,1,7,2,2,1,1091.038585,1,1,0,1
1,1,5,33,1,3,1,1,9,2,2,1,6749.347175,1,1,0,0
1,1,5,34,1,3,2,4,6,2,2,1,1212.082886,3,1,0,0
1,1,5,35,1,3,1,1,8,2,2,1,3473.799661,1,1,0,0
1,1,5,36,1,3,1,3,5,1,1,1,3188.28914,2,1,0,1
1,1,5,37,1,3,1,4,6,2,2,1,3465.81733,3,1,0,1
1,1,5,38,1,3,1,4,3,1,1,1,1836.507447,3,1,1,1
1,1,5,39,1,3,2,1,8,2,2,1,1687.923815,1,1,0,0
1,1,5,40,1,3,1,1,4,1,1,1,1713.639245,1,1,0,0
1,1,5,41,1,3,1,1,10,2,2,1,4674.843282,1,1,1,1
1,1,5,42,1,3,2,2,4,1,1,1,1437.346973,3,1,0,0
1,1,5,43,1,3,1,2,1,1,1,1,2489.499186,3,1,0,0
1,1,5,44,1,3,1,1,7,2,2,1,802.8308451,1,1,0,1
1,1,5,45,1,3,2,1,5,1,1,1,1087.367379,1,1,0,0
1,1,5,46,1,3,1,3,9,2,99,99,99000,2,1,1,0
1,1,5,47,1,3,1,1,2,1,1,1,3342.969326,1,1,0,1
1,1,5,48,1,3,2,4,3,1,1,1,1126.59391,3,1,0,0
1,1,6,1,1,3,2,1,8,2,2,1,1328.453782,1,1,0,1
1,1,6,2,1,3,1,1,4,1,1,1,1657.168854,1,1,0,0
1,1,6,3,1,3,2,4,1,1,1,1,1268.105397,3,1,0,0
1,1,6,4,1,3,2,1,2,1,1,1,918.0931016,1,1,0,1
1,1,6,5,1,3,2,1,3,1,1,1,878.307764,1,1,1,1
1,1,6,6,1,3,1,1,1,1,1,1,1432.796358,1,1,0,0
1,1,6,7,1,3,2,3,10,2,2,1,884.1782943,2,1,1,0
